Comprehensive Feature Selection Report for Column: 'HP_chiral_20¦Â'
============================================================
Total features evaluated: 2444
Number of features selected: 210
Elbow point identified at rank: 209 (Importance: 0.021523)
Absolute importance threshold applied: 0.100000

Selected Features (Ranked by SHAP Importance):
           feature  importance  importance_rank
      mol_AATSC6dv    0.063704            108.0
      mol_MATS5are    0.062555            109.0
        mol_MATS2p    0.062224            110.0
       mol_MATS7dv    0.061612            111.0
    mol_ETA_eta_FL    0.061351            112.0
        mol_AATS4p    0.059768            113.0
        mol_nBonds    0.059415            114.0
        mol_ATSC3s    0.059136            115.0
       mol_MDEC-34    0.058512            116.0
      mol_MATS1are    0.058302            117.0
       mol_MINaasC    0.058142            118.0
        mol_GATS8c    0.057752            119.0
            mol_Mp    0.057155            120.0
          mol_BIC4    0.056674            121.0
           mol_IC1    0.055210            122.0
    mol_AETA_eta_F    0.055033            123.0
        mol_ATS8dv    0.054430            124.0
  mol_FilterItLogS    0.052364            125.0
  mol_ETA_dAlpha_B    0.052203            126.0
       mol_Xpc-5dv    0.050959            127.0
         mol_C2SP3    0.050188            128.0
      mol_AATSC6se    0.050069            129.0
        mol_ATSC8Z    0.049477            130.0
   mol_ETA_beta_ns    0.049111            131.0
        mol_ATSC7c    0.048097            132.0
        mol_AATS7d    0.047202            133.0
        mol_MATS4p    0.046440            134.0
        mol_GATS1d    0.046298            135.0
       mol_AATSC1i    0.046146            136.0
        mol_piPC10    0.045996            137.0
      mol_RotRatio    0.045152            138.0
         mol_ATS7d    0.044665            139.0
        mol_AXp-5d    0.044571            140.0
         mol_ATS0Z    0.044173            141.0
     mol_ETA_eta_F    0.043272            142.0
       mol_GATS5se    0.042725            143.0
       mol_GATS2pe    0.041887            144.0
           mol_IC0    0.041728            145.0
       mol_GATS1dv    0.041615            146.0
       mol_AATSC5Z    0.041591            147.0
      mol_BCUTv-1h    0.040915            148.0
    mol_SlogP_VSA6    0.040331            149.0
        mol_MATS1i    0.040265            150.0
        mol_GATS4c    0.039285            151.0
          mol_CIC3    0.039179            152.0
       mol_AATSC4i    0.038833            153.0
        mol_ATSC5d    0.038814            154.0
       mol_GATS7se    0.038184            155.0
       mol_ATSC6se    0.037085            156.0
       mol_ATSC3se    0.035663            157.0
        mol_ATSC1p    0.035399            158.0
      mol_AATSC7dv    0.034051            159.0
        mol_GATS7p    0.033846            160.0
        mol_GATS7s    0.033454            161.0
        mol_GATS2v    0.032730            162.0
       mol_AATSC2Z    0.032573            163.0
 mol_ETA_epsilon_2    0.032166            164.0
        mol_GATS8p    0.031674            165.0
         mol_ATS4d    0.031669            166.0
        mol_ATSC7d    0.031475            167.0
      mol_ATSC1are    0.030824            168.0
       mol_AATSC5i    0.030297            169.0
        mol_ATSC2s    0.029564            170.0
        mol_GATS1v    0.029314            171.0
         mol_ATS6p    0.029195            172.0
        mol_GATS6Z    0.028959            173.0
        mol_ATSC8v    0.028804            174.0
         mol_ATS5i    0.028789            175.0
        mol_GATS1p    0.028630            176.0
       mol_AATSC7s    0.028537            177.0
       mol_MATS3se    0.027796            178.0
          mol_GGI7    0.027796            179.0
      mol_SMR_VSA7    0.027628            180.0
       mol_VE2_DzZ    0.027106            181.0
        mol_AATS5i    0.026989            182.0
       mol_AATS2pe    0.026806            183.0
       mol_ATSC6dv    0.026641            184.0
      mol_AATSC0pe    0.026132            185.0
     mol_PEOE_VSA6    0.025521            186.0
        mol_ATSC4d    0.025144            187.0
    mol_AETA_eta_B    0.024676            188.0
        mol_AATS8v    0.024551            189.0
       mol_AATSC0v    0.024421            190.0
         mol_ATS3v    0.024285            191.0
          mol_JGI2    0.024199            192.0
       Chiral_Type    0.024051            193.0
          mol_JGI5    0.023845            194.0
         mol_SsssN    0.023619            195.0
           S_Count    0.023586            196.0
        mol_AATS5p    0.023177            197.0
       mol_AATS8se    0.023038            198.0
        mol_MATS4d    0.022835            199.0
          mol_Vabc    0.022647            200.0
        mol_GATS6d    0.022605            201.0
        mol_MATS7c    0.022373            202.0
       mol_GATS4se    0.022309            203.0
        mol_MATS7Z    0.022130            204.0
        mol_ATSC8s    0.021961            205.0
        mol_MAXsOH    0.021875            206.0
        mol_MATS6s    0.021788            207.0
          mol_SIC5    0.021694            208.0
       mol_ECIndex    0.021523            209.0
      Total_Chiral    0.000000           1518.0
