Comprehensive Feature Selection Report for Column: 'Cyclosil_B'
============================================================
Total features evaluated: 2444
Number of features selected: 194
Elbow point identified at rank: 193 (Importance: 0.026935)
Absolute importance threshold applied: 0.100000

Selected Features (Ranked by SHAP Importance):
           feature  importance  importance_rank
      mol_MATS5are    0.078764            100.0
        mol_AATS5p    0.075561            101.0
        mol_GATS2v    0.075117            102.0
       mol_MDEC-22    0.073814            103.0
       mol_AXp-4dv    0.072194            104.0
        mol_AATS6Z    0.071393            105.0
        mol_nBonds    0.070560            106.0
        mol_GATS1v    0.069878            107.0
     mol_n10FHRing    0.069850            108.0
       mol_AATSC4p    0.069385            109.0
        mol_MATS4p    0.068519            110.0
        mol_ATSC0v    0.068114            111.0
       mol_GATS2pe    0.067977            112.0
        mol_MATS7s    0.067963            113.0
        mol_MATS4d    0.067320            114.0
        mol_ATSC3Z    0.067257            115.0
       mol_MATS5pe    0.067183            116.0
       mol_MDEC-23    0.066401            117.0
        mol_GATS8c    0.065042            118.0
         mol_ZMIC1    0.064698            119.0
       mol_SpAbs_D    0.064362            120.0
    mol_SlogP_VSA4    0.064261            121.0
      mol_ETA_beta    0.062396            122.0
       Chiral_Type    0.061960            123.0
            mol_Mp    0.061957            124.0
         mol_Xp-7d    0.061078            125.0
        mol_AXp-5d    0.060072            126.0
       mol_AATSC4i    0.057345            127.0
        mol_ATSC3s    0.056842            128.0
        mol_ATSC5d    0.056819            129.0
        mol_MATS2p    0.056145            130.0
           S_Count    0.056065            131.0
        mol_GATS7v    0.055598            132.0
        mol_ATSC8Z    0.055024            133.0
        mol_MATS4s    0.053989            134.0
        mol_ATSC5Z    0.052830            135.0
       mol_MATS4pe    0.052590            136.0
   mol_EState_VSA3    0.051193            137.0
        mol_GATS4d    0.050267            138.0
           mol_IC1    0.049319            139.0
          mol_SIC4    0.048609            140.0
      mol_AATSC6dv    0.048485            141.0
        mol_MATS1i    0.048223            142.0
  mol_ETA_dAlpha_B    0.048009            143.0
         mol_JGT10    0.045915            144.0
       mol_GATS1dv    0.045890            145.0
         mol_SsssN    0.044777            146.0
         mol_ATS7d    0.044508            147.0
           mol_IC0    0.043621            148.0
        mol_ATSC4i    0.043204            149.0
          mol_CIC4    0.043092            150.0
         mol_ATS2m    0.042951            151.0
       mol_MINaasC    0.042447            152.0
        mol_ATSC1p    0.042383            153.0
       mol_AATSC2Z    0.041692            154.0
        mol_Xpc-5d    0.041637            155.0
            mol_Sp    0.041453            156.0
        mol_GATS4c    0.041367            157.0
       mol_MATS3se    0.041363            158.0
        mol_ATSC7d    0.041219            159.0
          mol_BIC4    0.040886            160.0
      mol_ATSC1are    0.040719            161.0
   mol_ETA_beta_ns    0.040262            162.0
       mol_AATS8se    0.040139            163.0
          mol_CIC3    0.039484            164.0
        mol_ATSC2d    0.038789            165.0
      mol_AATSC0pe    0.038072            166.0
          mol_RNCG    0.037847            167.0
      mol_MATS2are    0.037737            168.0
        mol_MAXsOH    0.037237            169.0
       mol_AATS2pe    0.036612            170.0
        mol_ATSC7c    0.036534            171.0
        mol_GATS1d    0.036375            172.0
       mol_AATSC5i    0.036367            173.0
        mol_piPC10    0.036341            174.0
        mol_AATS3Z    0.036186            175.0
          mol_JGI2    0.035528            176.0
       mol_AATSC1i    0.035356            177.0
 mol_ETA_epsilon_2    0.034167            178.0
      mol_RotRatio    0.033277            179.0
       mol_Xpc-5dv    0.033176            180.0
         mol_ATS4d    0.032439            181.0
        mol_AATS8v    0.031051            182.0
       mol_ATSC6dv    0.030985            183.0
        mol_AATS5i    0.030970            184.0
         mol_GGI10    0.030822            185.0
        mol_MATS7d    0.029227            186.0
        mol_GATS5d    0.028935            187.0
        mol_ATSC6p    0.028460            188.0
        mol_MATS7c    0.027994            189.0
       mol_AATSC7s    0.027711            190.0
        mol_MATS7Z    0.027454            191.0
       mol_ECIndex    0.027429            192.0
      mol_nBondsKS    0.026935            193.0
      Total_Chiral    0.000000           1518.0
