NO.,Chiral_molecules_smile,RT,Column,Tem/℃,T1/min,kα/℃·min-1,Tα/min,T2/min,kβ/℃·min-1,Tβ/min,T3/min,kγ/℃·min-1,Tγ/min,T4/min,kδ/℃·min-1,Tδ/min,T5/min
59,C[C@H](O)C1CC(C(F)(F)F)CC(C(F)(F)F)C1,18.755,Cyclosil_B,70,5,5,14,11,6,5,25,0,0,0,0,0,0
60,C[C@@H](O)C1CC(C(F)(F)F)CC(C(F)(F)F)C1,19.519,Cyclosil_B,70,5,5,14,11,6,5,25,0,0,0,0,0,0
61,C[C@H](C1=CC=C(C=C1)F)O,28.012,Cyclosil_B,70,9,5,10,15,5,10,6,0,0,0,0,0,0
62,C[C@@H](C1=CC=C(C=C1)F)O,28.995,Cyclosil_B,70,9,5,10,15,5,10,6,0,0,0,0,0,0
63,C[C@@H](O)C1CC(F)CCC1F,20.862,Cyclosil_B,70,5,5,14,11,6,5,25,0,0,0,0,0,0
64,C[C@H](O)C1CC(F)CCC1F,21.912,Cyclosil_B,70,5,5,14,11,6,5,25,0,0,0,0,0,0
65,C[C@H](C1=CC=C(C=C1)Cl)O,41.862,Cyclosil_B,70,9,5,10,15,5,10,6,0,0,0,0,0,0
66,C[C@@H](C1=CC=C(C=C1)Cl)O,42.321,Cyclosil_B,70,9,5,10,15,5,10,6,0,0,0,0,0,0
67,C[C@H](C1=CC=CC=C1Br)O,43.953,Cyclosil_B,110,10,1,55,5,0,0,0,0,0,0,0,0,0
68,C[C@@H](C1=CC=CC=C1Br)O,44.323,Cyclosil_B,110,10,1,55,5,0,0,0,0,0,0,0,0,0
69,C[C@H](C1=CC=C(C=C1)Br)O,47.401,Cyclosil_B,110,10,1,55,5,0,0,0,0,0,0,0,0,0
70,C[C@@H](C1=CC=C(C=C1)Br)O,48.395,Cyclosil_B,110,10,1,55,5,0,0,0,0,0,0,0,0,0
71,C[C@H](C1=CC=C(C=C1)I)O,59.944,Cyclosil_B,110,10,1,55,5,0,0,0,0,0,0,0,0,0
72,C[C@@H](C1=CC=C(C=C1)I)O,60.585,Cyclosil_B,110,10,1,55,5,0,0,0,0,0,0,0,0,0
73,CC1=CC=C(C=C1)[C@@H](C)O,21.094,Cyclosil_B,110,10,1,55,40,0,0,0,0,0,0,0,0,0
74,CC1=CC=C(C=C1)[C@H](C)O,22.545,Cyclosil_B,110,10,1,55,40,0,0,0,0,0,0,0,0,0
75,C[C@H](C1=CC=CC=C1[N+](=O)[O-])O,61.96,Cyclosil_B,110,10,1,55,40,0,0,0,0,0,0,0,0,0
76,C[C@@H](C1=CC=CC=C1[N+](=O)[O-])O,71.642,Cyclosil_B,110,10,1,55,40,0,0,0,0,0,0,0,0,0
77,C[C@H](C1=CC(=CC=C1)[N+](=O)[O-])O,81.469,Cyclosil_B,110,10,1,45,55,5,5,5,0,0,0,0,0,0
78,C[C@@H](C1=CC(=CC=C1)[N+](=O)[O-])O,82.651,Cyclosil_B,110,10,1,45,55,5,5,5,0,0,0,0,0,0
79,C[C@H](C1=CC=C(C=C1)[N+](=O)[O-])O,79.379,Cyclosil_B,110,10,1,55,40,0,0,0,0,0,0,0,0,0
80,C[C@@H](C1=CC=C(C=C1)[N+](=O)[O-])O,81.245,Cyclosil_B,110,10,1,55,40,0,0,0,0,0,0,0,0,0
81,O[C@H](C1CCCCC1)C(F)(F)F,55.879,Cyclosil_B,70,5,7,5,60,10,6.5,1.5,0,0,0,0,0,0
82,O[C@@H](C1CCCCC1)C(F)(F)F,56.632,Cyclosil_B,70,5,7,5,60,10,6.5,1.5,0,0,0,0,0,0
83,C[C@@H](O)C1=CC=CC(CO)=C1,70.737,Cyclosil_B,110,10,1,55,40,0,0,0,0,0,0,0,0,0
84,C[C@H](O)C1=CC=CC(CO)=C1,71.845,Cyclosil_B,110,10,1,55,40,0,0,0,0,0,0,0,0,0
85,O[C@H]1CCCC2=CC=CC=C12,44.162,Cyclosil_B,110,10,1,40,0,6,5,5,0,0,0,0,0,0
86,O[C@@H]1CCCC2=CC=CC=C12,44.692,Cyclosil_B,110,10,1,40,0,6,5,5,0,0,0,0,0,0
87,COC1=CC=CC2=C1CCC[C@H]2O,52.419,Cyclosil_B,80,5,5,14,31,5,4,36,0,0,0,0,0,0
88,COC1=CC=CC2=C1CCC[C@@H]2O,53.805,Cyclosil_B,80,5,5,14,31,5,4,36,0,0,0,0,0,0
89,COC1CCC2C(C1)CCC[C@@H]2O,55.084,Cyclosil_B,80,5,5,14,31,5,4,36,0,0,0,0,0,0
90,COC1CCC2C(C1)CCC[C@H]2O,55.769,Cyclosil_B,80,5,5,14,31,5,4,36,0,0,0,0,0,0
91,O[C@@H]1CCCC2=CC=C(Br)C=C12,88.502,Cyclosil_B,110,10,1,55,40,0,0,0,0,0,0,0,0,0
92,O[C@H]1CCCC2=CC=C(Br)C=C12,91.137,Cyclosil_B,110,10,1,55,40,0,0,0,0,0,0,0,0,0
93,O[C@@H]1CCC2C(Br)CCCC21,57.604,Cyclosil_B,80,5,5,13,50,5,6,16,0,0,0,0,0,0
94,O[C@H]1CCC2C(Br)CCCC21,58.574,Cyclosil_B,80,5,5,13,50,5,6,16,0,0,0,0,0,0
95,O[C@H]1CCC2CC(Br)CCC21,52.461,Cyclosil_B,80,5,5,14,31,5,4,36,0,0,0,0,0,0
96,O[C@@H]1CCC2CC(Br)CCC21,52.836,Cyclosil_B,80,5,5,14,31,5,4,36,0,0,0,0,0,0
97,O[C@@H]1CCNC2=C(Br)C=CC=C12,112.212,Cyclosil_B,100,10,1,50,20,1,15,102,5,3,10,0,0,0
98,O[C@H]1CCNC2=C(Br)C=CC=C12,114.629,Cyclosil_B,100,10,1,50,20,1,15,102,5,3,10,0,0,0
99,O=C(OC(C)(C)C)N1CC[C@@H](O)C2=CC=CC=C12,131.813,Cyclosil_B,100,10,1,50,20,1,15,102,5,3,10,0,0,0
100,O=C(OC(C)(C)C)N1CC[C@H](O)C2=CC=CC=C12,136.212,Cyclosil_B,100,10,1,50,20,1,15,102,5,3,10,0,0,0
101,CC(=O)O[C@@H]1CCSC2=NC=CC=C12,93.715,Cyclosil_B,100,10,1,50,20,1,15,20,5,3,3,0,0,0
102,CC(=O)O[C@H]1CCSC2=NC=CC=C12,95.19,Cyclosil_B,100,10,1,50,20,1,15,20,5,3,3,0,0,0
103,O[C@@H]1CCNC2=C(Br)C=CC=C12,113.501,Cyclosil_B,100,10,1,50,20,1,15,102,5,3,10,0,0,0
104,O[C@H]1CCNC2=C(Br)C=CC=C12,115.286,Cyclosil_B,100,10,1,50,20,1,15,102,5,3,10,0,0,0
105,O=C(OC(C)(C)C)N1CC[C@@H](O)C2=CC=CC=C12,134.624,Cyclosil_B,100,10,1,50,20,1,15,102,5,3,10,0,0,0
106,O=C(OC(C)(C)C)N1CC[C@H](O)C2=CC=CC=C12,136.419,Cyclosil_B,100,10,1,50,20,1,15,102,5,3,10,0,0,0
107,C1C[C@@H](C2=CC=CC=C2C1)O,44.83,Cyclosil_B,110,10,1,40,0,6,5,5,0,0,0,0,0,0
108,C1C[C@H](C2=CC=CC=C2C1)O,45.525,Cyclosil_B,110,10,1,40,0,6,5,5,0,0,0,0,0,0
109,O[C@@H]1CCCC2=CC=C(Br)C=C12,89.673,Cyclosil_B,110,10,1,55,0,0,0,0,0,0,0,0,0,0
110,O[C@H]1CCCC2=CC=C(Br)C=C12,91.87,Cyclosil_B,110,10,1,55,0,0,0,0,0,0,0,0,0,0
111,COC1=CC=CC2=C1CCC[C@H]2O,53.131,Cyclosil_B,80,5,5,14,31,5,4,36,0,0,0,0,0,0
112,COC1=CC=CC2=C1CCC[C@@H]2O,54.35,Cyclosil_B,80,5,5,14,31,5,4,36,0,0,0,0,0,0
113,COC1CCC2C(C1)CCC[C@@H]2O,55.405,Cyclosil_B,80,5,5,14,31,5,4,36,0,0,0,0,0,0
114,COC1CCC2C(C1)CCC[C@H]2O,56.206,Cyclosil_B,80,5,5,14,31,5,4,36,0,0,0,0,0,0
115,O[C@@H]1CCC2C(Br)CCCC21,73.121,Cyclosil_B,80,5,5,13,50,5,6,16,0,0,0,0,0,0
116,O[C@H]1CCC2C(Br)CCCC21,73.751,Cyclosil_B,80,5,5,13,50,5,6,16,0,0,0,0,0,0
117,O[C@H]1CCC2CC(Br)CCC21,52.624,Cyclosil_B,80,5,5,14,31,5,4,36,0,0,0,0,0,0
118,O[C@@H]1CCC2CC(Br)CCC21,53.245,Cyclosil_B,80,5,5,14,31,5,4,36,0,0,0,0,0,0
119,C[C@H](C1=CC=CC=C1)O,25.849,Cyclosil_B,70,9,5,10,11,0,0,0,0,0,0,0,0,0
120,C[C@@H](C1=CC=CC=C1)O,26.589,Cyclosil_B,70,9,5,10,11,0,0,0,0,0,0,0,0,0
121,C[C@@H](O)C1CCCC(C(F)(F)F)C1,18.253,Cyclosil_B,110,10,1,12,0,10,5,1,0,0,0,0,0,0
122,C[C@H](O)C1CCCC(C(F)(F)F)C1,18.945,Cyclosil_B,110,10,1,12,0,10,5,1,0,0,0,0,0,0
123,C[C@@H](O)C1CCC(C(F)(F)F)CC1,21.12,Cyclosil_B,70,5,5,14,11,6,5,25,0,0,0,0,0,0
124,C[C@H](O)C1CCC(C(F)(F)F)CC1,21.574,Cyclosil_B,70,5,5,14,11,6,5,25,0,0,0,0,0,0
125,C[C@H](O)C1CC(C(F)(F)F)CC(C(F)(F)F)C1,18.833,Cyclosil_B,70,5,5,14,11,6,5,25,0,0,0,0,0,0
126,C[C@@H](O)C1CC(C(F)(F)F)CC(C(F)(F)F)C1,19.661,Cyclosil_B,70,5,5,14,11,6,5,25,0,0,0,0,0,0
127,C[C@H](C1=CC=C(C=C1)I)O,60.37,Cyclosil_B,110,10,1,55,5,0,0,0,0,0,0,0,0,0
128,C[C@@H](C1=CC=C(C=C1)I)O,60.876,Cyclosil_B,110,10,1,55,5,0,0,0,0,0,0,0,0,0
129,C[C@H](C1=CC=C(C=C1)Br)O,45.839,Cyclosil_B,110,10,1,55,5,0,0,0,0,0,0,0,0,0
130,C[C@@H](C1=CC=C(C=C1)Br)O,46.071,Cyclosil_B,110,10,1,55,5,0,0,0,0,0,0,0,0,0
131,CC1=CC=C(C=C1)[C@@H](C)O,21.47,Cyclosil_B,110,10,1,55,40,0,0,0,0,0,0,0,0,0
132,CC1=CC=C(C=C1)[C@H](C)O,22.79,Cyclosil_B,110,10,1,55,40,0,0,0,0,0,0,0,0,0
133,C[C@@H]1CCC[C@]2(CCCO2)O1,32.09,Cyclosil_B,40,3,3,36.67,0,15,6.67,10,0,0,0,0,0,0
134,C[C@H]1CCC[C@@]2(CCCO2)O1,33.48,Cyclosil_B,40,3,3,36.67,0,15,6.67,10,0,0,0,0,0,0
135,CC[C@]1(C)CC[C@]2(CCCO2)O1,35.74,Cyclosil_B,40,3,3,36.67,0,15,6.67,10,0,0,0,0,0,0
136,CC[C@]1(C)CC[C@@]2(CCCO2)O1,37.32,Cyclosil_B,40,3,3,36.67,0,15,6.67,10,0,0,0,0,0,0
137,CC[C@@]1(C)CC[C@]2(CCCO2)O1,37.67,Cyclosil_B,40,3,3,36.67,0,15,6.67,10,0,0,0,0,0,0
138,CC[C@@]1(C)CC[C@@]2(CCCO2)O1,38.73,Cyclosil_B,40,3,3,36.67,0,15,6.67,10,0,0,0,0,0,0
139,C[C@H](C1=CC=C(C=C1)Cl)O,13.65,Cyclosil_B,135,0,0,0,0,0,0,0,0,0,0,0,0,0
140,C[C@@H](C1=CC=C(C=C1)Cl)O,14.3,Cyclosil_B,135,0,0,0,0,0,0,0,0,0,0,0,0,0
141,C[C@@H]1CC(=O)OC1(C)C,12.8,Cyclosil_B,70,5,10,14,0,0,0,0,0,0,0,0,0,0
142,C[C@H]1CC(=O)OC1(C)C,12.9,Cyclosil_B,70,5,10,14,0,0,0,0,0,0,0,0,0,0
143,O=CC([C@H]1CC(=O)N(C2=CC=CC=C2)C1=O)(C)C,194,Cyclosil_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,O=CC([C@@H]1CC(=O)N(C2=CC=CC=C2)C1=O)(C)C,191,Cyclosil_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,O=CC([C@H]1CC(=O)N(CC2=CC=CC=C2)C1=O)(C)C,182,Cyclosil_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,O=CC([C@@H]1CC(=O)N(CC2=CC=CC=C2)C1=O)(C)C,178.3,Cyclosil_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,C1=CC=C(C=C1)[C@H](CN)O,13.3,Cyclosil_B,130,0,4,15,0,0,0,0,0,0,0,0,0,0
148,C1=CC=C(C=C1)[C@@H](CN)O,13.1,Cyclosil_B,130,0,4,15,0,0,0,0,0,0,0,0,0,0
149,CC1=CC[C@H]2C[C@@H]1C2(C)C,8.2,Cyclosil_B,65,1,1,35,1,2,25,0,10,7,3,0,0,0
150,C1=CC[C@@H]2C[C@H]1C2(C)C,8.5,Cyclosil_B,65,1,1,35,1,2,25,0,10,7,3,0,0,0
151,CC1([C@H]2CCC(=C)[C@@H]1C2)C,10.6,Cyclosil_B,65,1,1,35,1,2,25,0,10,7,3,0,0,0
152,C1([C@@H]2CCC(=C)[C@H]1C2)C,11.1,Cyclosil_B,65,1,1,35,1,2,25,0,10,7,3,0,0,0
153,CC1=CC[C@H](CC1)C(=C)C,13.1,Cyclosil_B,65,1,1,35,1,2,25,0,10,7,3,0,0,0
154,CC1=CC[C@@H](CC1)C(=C)C,14,Cyclosil_B,65,1,1,35,1,2,25,0,10,7,3,0,0,0
155,CC(=CCC[C@](C)(C=C)O)C,29,Cyclosil_B,65,1,1,35,1,2,25,0,10,7,3,0,0,0
156,CC(=CCC[C@@](C)(C=C)O)C,29.9,Cyclosil_B,65,1,1,35,1,2,25,0,10,7,3,0,0,0
157,CC1=CC[C@@H](CC1)C(=C)C,20.334,Cyclosil_B,50,0,2,20,0,25,4.4,2,0,0,0,0,0,0
158,CC1=CC[C@H](CC1)C(=C)C,19.53,Cyclosil_B,50,0,2,20,0,25,4.4,2,0,0,0,0,0,0
159,C[C@]12CC[C@H](C1(C)C)CC2=O,19.54,Cyclosil_B,55,1,4,31.25,10,0,0,0,0,0,0,0,0,0
160,C[C@@]12CC[C@@H](C1(C)C)CC2=O,19.66,Cyclosil_B,55,1,4,31.25,10,0,0,0,0,0,0,0,0,0
161,CC(=CCC[C@](C)(C=C)O)C,14.07,Cyclosil_B,40,0,10,20,0,0,0,0,0,0,0,0,0,0
162,CC(=CCC[C@@](C)(C=C)O)C,14.15,Cyclosil_B,40,0,10,20,0,0,0,0,0,0,0,0,0,0
163,[CH3]CCC/C=C\CCCC(=O)O[C@@H]([CH3])C[CH3],25.671,Cyclosil_B,50,2,5,40,0,0,0,0,0,0,0,0,0,0
164,[CH3]CCC/C=C\CCCC(=O)O[C@H]([CH3])C[CH3],25.73,Cyclosil_B,50,2,5,40,0,0,0,0,0,0,0,0,0,0
165,CCOC(=O)[C@@](F)(C(C)=O)[C@@H]1CC(=O)N(CC)C1=O,146.5,Cyclosil_B,80,10,1.5,22,30,0.5,54,44,5,8,22,0,0,0
166,CCOC(=O)[C@](F)(C(C)=O)[C@@H]1CC(=O)N(CC)C1=O,154.3,Cyclosil_B,80,10,1.5,22,30,0.5,54,44,5,8,22,0,0,0
167,CCOC(=O)[C@@](F)(C(C)=O)[C@H]1CC(=O)N(CC)C1=O,150.2,Cyclosil_B,80,10,1.5,22,30,0.5,54,44,5,8,22,0,0,0
168,CCOC(=O)[C@](F)(C(C)=O)[C@H]1CC(=O)N(CC)C1=O,155.5,Cyclosil_B,80,10,1.5,22,30,0.5,54,44,5,8,22,0,0,0
169,CCOC(=O)[C@@](F)(C(C)=O)[C@@H]1CC(=O)N(C)C1=O,141.2,Cyclosil_B,80,10,1.5,22,30,0.5,54,44,5,8,22,0,0,0
170,CCOC(=O)[C@](F)(C(C)=O)[C@@H]1CC(=O)N(C)C1=O,150.1,Cyclosil_B,80,10,1.5,22,30,0.5,54,44,5,8,22,0,0,0
171,CCOC(=O)[C@@](F)(C(C)=O)[C@H]1CC(=O)N(C)C1=O,146.6,Cyclosil_B,80,10,1.5,22,30,0.5,54,44,5,8,22,0,0,0
172,CCOC(=O)[C@](F)(C(C)=O)[C@H]1CC(=O)N(C)C1=O,154.6,Cyclosil_B,80,10,1.5,22,30,0.5,54,44,5,8,22,0,0,0
173,CCCN1C(=O)C[C@@H]([C@](F)(C(C)=O)C(=O)OCC)C1=O,167.2,Cyclosil_B,80,10,1.5,22,30,0.5,54,44,5,8,22,0,0,0
174,CCCN1C(=O)C[C@@H]([C@@](F)(C(C)=O)C(=O)OCC)C1=O,168.5,Cyclosil_B,80,10,1.5,22,30,0.5,54,44,5,8,22,0,0,0
175,CCCN1C(=O)C[C@H]([C@](F)(C(C)=O)C(=O)OCC)C1=O,168,Cyclosil_B,80,10,1.5,22,30,0.5,54,44,5,8,22,0,0,0
176,CCCN1C(=O)C[C@H]([C@@](F)(C(C)=O)C(=O)OCC)C1=O,168.7,Cyclosil_B,80,10,1.5,22,30,0.5,54,44,5,8,22,0,0,0
177,CCCCCCN1C(=O)C[C@@H]([C@](F)(C(C)=O)C(=O)OCC)C1=O,170.9,Cyclosil_B,100,10,1,50,20,1,15,85,5,4,6,0,0,0
178,CCCCCCN1C(=O)C[C@@H]([C@@](F)(C(C)=O)C(=O)OCC)C1=O,174.5,Cyclosil_B,100,10,1,50,20,1,15,85,5,4,6,0,0,0
179,CCCCCCN1C(=O)C[C@H]([C@](F)(C(C)=O)C(=O)OCC)C1=O,176.1,Cyclosil_B,100,10,1,50,20,1,15,85,5,4,6,0,0,0
180,CCOC(=O)[C@@](F)(C(C)=O)[C@@H]1CC(=O)N(Cc2ccccc2)C1=O,258.1,Cyclosil_B,100,10,1,50,20,1,15,100,1,16,59,0,0,0
181,CCOC(=O)[C@](F)(C(C)=O)[C@@H]1CC(=O)N(Cc2ccccc2)C1=O,260.1,Cyclosil_B,100,10,1,50,20,1,15,100,1,16,59,0,0,0
182,CCOC(=O)[C@@](F)(C(C)=O)[C@H]1CC(=O)N(Cc2ccccc2)C1=O,262.5,Cyclosil_B,100,10,1,50,20,1,15,100,1,16,59,0,0,0
183,CCOC(=O)[C@@](F)(C(C)=O)[C@@H]1CC(=O)N(C(C)C)C1=O,148.8,Cyclosil_B,80,10,1.5,22,30,0.5,54,44,5,8,22,0,0,0
184,CCOC(=O)[C@](F)(C(C)=O)[C@@H]1CC(=O)N(C(C)C)C1=O,151.6,Cyclosil_B,80,10,1.5,22,30,0.5,54,44,5,8,22,0,0,0
185,CCOC(=O)[C@@](F)(C(C)=O)[C@H]1CC(=O)N(C(C)C)C1=O,161.8,Cyclosil_B,80,10,1.5,22,30,0.5,54,44,5,8,22,0,0,0
186,CCOC(=O)[C@](F)(C(C)=O)[C@H]1CC(=O)N(C(C)C)C1=O,162.4,Cyclosil_B,80,10,1.5,22,30,0.5,54,44,5,8,22,0,0,0
187,CCOC(=O)[C@@](F)(C(C)=O)[C@@H]1CC(=O)N(C(C)(C)C)C1=O,93.4,Cyclosil_B,100,10,1,50,40,1,13,0,6,3.5,3,0,0,0
